job_id,job_title_short,skill
22652,Machine Learning Engineer,oracle
22652,Machine Learning Engineer,pandas
22652,Machine Learning Engineer,terraform
22652,Machine Learning Engineer,kubernetes
22652,Machine Learning Engineer,jenkins
22652,Machine Learning Engineer,git
22653,Data Scientist,python
22653,Data Scientist,sql
22653,Data Scientist,r
22653,Data Scientist,julia
22653,Data Scientist,nosql
22653,Data Scientist,mongodb
22653,Data Scientist,mongodb
22653,Data Scientist,elasticsearch
22653,Data Scientist,pandas
22653,Data Scientist,numpy
22653,Data Scientist,plotly
22653,Data Scientist,matplotlib
22653,Data Scientist,tensorflow
22653,Data Scientist,pytorch
22653,Data Scientist,github
22655,Data Scientist,python
22655,Data Scientist,r
22655,Data Scientist,c#
22655,Data Scientist,sql
22655,Data Scientist,github
22656,Data Engineer,power bi
22656,Data Engineer,tableau
22656,Data Engineer,ssis
22656,Data Engineer,kubernetes
22657,Data Analyst,power bi
22658,Senior Data Scientist,matlab
22658,Senior Data Scientist,r
22658,Senior Data Scientist,excel
22659,Data Analyst,phoenix
22660,Data Engineer,sql
22660,Data Engineer,python
22660,Data Engineer,scala
22660,Data Engineer,azure
22660,Data Engineer,aws
22660,Data Engineer,gcp
22660,Data Engineer,pandas
22661,Data Scientist,r
22661,Data Scientist,python
22661,Data Scientist,sql
22661,Data Scientist,nosql
22661,Data Scientist,plotly
22661,Data Scientist,seaborn
22661,Data Scientist,ggplot2
22662,Data Scientist,python
22662,Data Scientist,r
22662,Data Scientist,sql
22662,Data Scientist,tableau
22663,Business Analyst,sql
22663,Business Analyst,python
22663,Business Analyst,r
22663,Business Analyst,java
22663,Business Analyst,go
22663,Business Analyst,tableau
22664,Machine Learning Engineer,aws
22664,Machine Learning Engineer,azure
22665,Data Analyst,sql
22665,Data Analyst,python
22665,Data Analyst,excel
22666,Senior Data Scientist,go
22666,Senior Data Scientist,python
22666,Senior Data Scientist,sql
22667,Data Analyst,sql
22667,Data Analyst,python
22667,Data Analyst,r
22667,Data Analyst,sas
22667,Data Analyst,sas
22667,Data Analyst,tableau
22668,Data Analyst,sql
22668,Data Analyst,excel
22669,Data Engineer,sql
22669,Data Engineer,sql server
22669,Data Engineer,azure
22669,Data Engineer,databricks
22669,Data Engineer,power bi
22670,Data Engineer,sql
22670,Data Engineer,t-sql
22670,Data Engineer,azure
22670,Data Engineer,databricks
22670,Data Engineer,ssis
22671,Data Analyst,sql
22671,Data Analyst,r
22671,Data Analyst,python
22671,Data Analyst,postgresql
22671,Data Analyst,excel
22671,Data Analyst,power bi
22672,Software Engineer,python
22672,Software Engineer,azure
22672,Software Engineer,tensorflow
22672,Software Engineer,pandas
22672,Software Engineer,git
22672,Software Engineer,docker
22673,Data Analyst,sql
22673,Data Analyst,excel
22673,Data Analyst,tableau
22673,Data Analyst,power bi
22674,Data Scientist,sql
22674,Data Scientist,scala
22674,Data Scientist,aws
22674,Data Scientist,hadoop
22674,Data Scientist,spark
22674,Data Scientist,pyspark
22676,Data Analyst,python
22676,Data Analyst,hadoop
22676,Data Analyst,spark
22676,Data Analyst,jupyter
22676,Data Analyst,airflow
22676,Data Analyst,splunk
22676,Data Analyst,docker
22676,Data Analyst,kubernetes
22677,Senior Data Engineer,python
22677,Senior Data Engineer,sql
22677,Senior Data Engineer,aws
22677,Senior Data Engineer,redshift
22677,Senior Data Engineer,gdpr
22678,Business Analyst,spreadsheet
22679,Senior Data Scientist,python
22679,Senior Data Scientist,bash
22679,Senior Data Scientist,go
22679,Senior Data Scientist,java
22679,Senior Data Scientist,c++
22679,Senior Data Scientist,javascript
22679,Senior Data Scientist,sql
22679,Senior Data Scientist,aws
22679,Senior Data Scientist,gcp
22679,Senior Data Scientist,tensorflow
22679,Senior Data Scientist,pytorch
22680,Data Engineer,sql
22680,Data Engineer,r
22680,Data Engineer,python
22680,Data Engineer,oracle
22680,Data Engineer,tableau
22681,Data Scientist,sql
22681,Data Scientist,tableau
22681,Data Scientist,sap
22682,Data Scientist,sas
22682,Data Scientist,sas
22682,Data Scientist,sql
22682,Data Scientist,html
22682,Data Scientist,python
22682,Data Scientist,postgresql
22682,Data Scientist,oracle
22682,Data Scientist,tableau
22683,Data Analyst,sql
22683,Data Analyst,tableau
22684,Data Scientist,sql
22684,Data Scientist,python
22684,Data Scientist,r
22685,Machine Learning Engineer,python
22685,Machine Learning Engineer,sql
22685,Machine Learning Engineer,pytorch
22685,Machine Learning Engineer,tensorflow
22685,Machine Learning Engineer,scikit-learn
22685,Machine Learning Engineer,pandas
22685,Machine Learning Engineer,numpy
22687,Data Scientist,python
22687,Data Scientist,java
22687,Data Scientist,sql
22687,Data Scientist,cassandra
22687,Data Scientist,hadoop
22687,Data Scientist,spark
22687,Data Scientist,tableau
22688,Business Analyst,java
22688,Business Analyst,sap
22688,Business Analyst,excel
22688,Business Analyst,power bi
22689,Senior Data Engineer,sql
22689,Senior Data Engineer,python
22689,Senior Data Engineer,c
22689,Senior Data Engineer,bigquery
22689,Senior Data Engineer,redshift
22690,Senior Data Scientist,python
22690,Senior Data Scientist,r
22691,Data Analyst,sql
22691,Data Analyst,python
22691,Data Analyst,bigquery
22691,Data Analyst,tableau
22691,Data Analyst,excel
22691,Data Analyst,powerpoint
22691,Data Analyst,looker
22692,Data Scientist,python
22692,Data Scientist,sql
22692,Data Scientist,sql server
22692,Data Scientist,hadoop
22692,Data Scientist,spark
22692,Data Scientist,kafka
22692,Data Scientist,tensorflow
22692,Data Scientist,pytorch
22692,Data Scientist,theano
22692,Data Scientist,keras
22692,Data Scientist,powerpoint
22692,Data Scientist,excel
22692,Data Scientist,tableau
22692,Data Scientist,microstrategy
22692,Data Scientist,git
22692,Data Scientist,bitbucket
22693,Data Engineer,shell
22693,Data Engineer,mariadb
22693,Data Engineer,aws
22693,Data Engineer,spark
22693,Data Engineer,hadoop
22693,Data Engineer,flow
22693,Data Engineer,yarn
22693,Data Engineer,jenkins
22694,Data Analyst,cognos
22695,Senior Data Scientist,r
22695,Senior Data Scientist,python
22695,Senior Data Scientist,sql
22695,Senior Data Scientist,aws
22695,Senior Data Scientist,azure
22695,Senior Data Scientist,gcp
22695,Senior Data Scientist,tableau
22695,Senior Data Scientist,github
22696,Data Scientist,python
22696,Data Scientist,sql
22696,Data Scientist,sas
22696,Data Scientist,sas
22696,Data Scientist,matlab
22696,Data Scientist,pandas
22696,Data Scientist,numpy
22696,Data Scientist,matplotlib
22696,Data Scientist,tableau
22697,Data Analyst,sql
22697,Data Analyst,sql server
22697,Data Analyst,oracle
22697,Data Analyst,azure
22697,Data Analyst,ssis
22699,Data Analyst,sql
22699,Data Analyst,sql server
22699,Data Analyst,arch
22699,Data Analyst,excel
22699,Data Analyst,word
22699,Data Analyst,outlook
22699,Data Analyst,tableau
